date,match,competition,duration,team,scheme,goals,xg,shots_total,shots_on_target,shots_on_target_pct,passes_total,passes_accurate,passes_accurate_pct,possession_pct,losses_total,losses_low,losses_mid,losses_high,recoveries_total,recoveries_low,recoveries_mid,recoveries_high,duels_total,duels_won,duels_won_pct,competition_clean,home_team,away_team,score,goals_home_x,goals_away_x,is_home,goals_for,goals_against,result,opponent_context,game_intensity,passes_per_possession,long_pass_pct,ppda,avg_shot_distance,avg_pass_length,goals_home_y,goals_away_y,forward_passes,forward_passes_accurate,forward_passes_accurate_pct,back_passes,back_passes_accurate,back_passes_accurate_pct,lateral_passes,lateral_passes_accurate,lateral_passes_accurate_pct,long_passes,long_passes_accurate,long_passes_accurate_pct,final_third_passes,final_third_passes_accurate,final_third_passes_accurate_pct,progressive_passes,progressive_passes_accurate,progressive_passes_accurate_pct,smart_passes,smart_passes_accurate,smart_passes_accurate_pct,throw_ins,throw_ins_accurate,throw_ins_accurate_pct,goal_kicks,goals_conceded,shots_against,shots_against_on_target,shots_against_on_target_pct,def_duels,def_duels_won,def_duels_won_pct,aerial_duels,aerial_duels_won,aerial_duels_won_pct,tackles,tackles_successful,tackles_successful_pct,interceptions,clearances,fouls,yellow_cards,red_cards,positional_attacks,positional_attacks_with_shots,positional_attacks_with_shots_pct,counter_attacks,counter_attacks_with_shots,counter_attacks_with_shots_pct,corners,corners_with_shots,corners_with_shots_pct,free_kicks,free_kicks_with_shots,free_kicks_with_shots_pct,penalties,penalties_converted,penalties_converted_pct,crosses,crosses_accurate,crosses_accurate_pct,off_duels,off_duels_won,off_duels_won_pct,offsides,club
2026-03-08,Benfica - Porto 2:2,Portugal. Primeira Liga,106,Porto,4-3-3,2,2.0,15,7.0,46.67,327,268.0,81.96,42.58,114,32.0,46.0,36.0,81,45.0,26.0,10.0,234,102.0,43.59,Liga Portugal,Benfica,Porto,2:2,2.0,2.0,False,2.0,2.0,Draw,balanced,15.71,3.48,12.23,9.62,18.35,19.69,2.0,2.0,120,87.0,72.5,64,60.0,93.75,87,75.0,86.21,40,25.0,62.5,33,20.0,60.61,58,38.0,65.52,0,0.0,0.0,17,16.0,94.12,7,2,20,5.0,25.0,99,60.0,60.61,27,9.0,33.33,3,2.0,66.67,62,26,17,7,0,22,10.0,45.45,1,1.0,100.0,2,2.0,100.0,1,0.0,0.0,0,0.0,0.0,5,2.0,40.0,74,21.0,28.38,1,Porto
2026-02-27,Porto - Arouca 3:1,Portugal. Primeira Liga,104,Porto,4-3-3,3,3.07,19,7.0,36.84,490,426.0,86.94,53.54,105,11.0,33.0,61.0,80,19.0,38.0,23.0,184,90.0,48.91,Liga Portugal,Porto,Arouca,3:1,3.0,1.0,True,3.0,1.0,Win,dominant,16.52,4.54,5.71,7.64,17.56,18.43,3.0,1.0,157,126.0,80.25,65,59.0,90.77,187,170.0,90.91,28,17.0,60.71,49,40.0,81.63,83,66.0,79.52,3,0.0,0.0,29,29.0,100.0,3,1,6,1.0,16.67,45,33.0,73.33,43,21.0,48.84,2,1.0,50.0,28,7,10,0,0,49,14.0,28.57,0,0.0,0.0,5,0.0,0.0,1,1.0,100.0,1,1.0,100.0,22,8.0,36.36,76,29.0,38.16,2,Porto
2026-02-22,Porto - Rio Ave 1:0,Portugal. Primeira Liga,99,Porto,4-1-4-1,1,2.81,15,3.0,20.0,456,392.0,85.96,56.56,110,11.0,36.0,63.0,96,22.0,54.0,20.0,213,101.0,47.42,Liga Portugal,Porto,Rio Ave,1:0,1.0,0.0,True,1.0,0.0,Win,dominant,14.77,4.22,5.26,7.16,17.93,17.39,1.0,0.0,155,124.0,80.0,69,62.0,89.86,131,120.0,91.6,24,18.0,75.0,56,48.0,85.71,68,56.0,82.35,0,0.0,0.0,22,21.0,95.45,5,0,6,1.0,16.67,68,39.0,57.35,31,21.0,67.74,7,5.0,71.43,27,9,14,2,0,43,12.0,27.91,0,0.0,0.0,10,3.0,30.0,0,0.0,0.0,0,0.0,0.0,20,5.0,25.0,79,26.0,32.91,2,Porto
2026-02-15,Nacional - Porto 0:1,Portugal. Primeira Liga,102,Porto,4-3-3,1,1.0,8,5.0,62.5,328,258.0,78.66,54.37,105,22.0,39.0,44.0,81,27.0,39.0,15.0,201,108.0,53.73,Liga Portugal,Nacional,Porto,0:1,0.0,1.0,False,1.0,0.0,Win,dominant,13.9,3.31,10.67,7.43,16.21,18.94,0.0,1.0,130,89.0,68.46,33,32.0,96.97,113,101.0,89.38,35,14.0,40.0,44,28.0,63.64,50,32.0,64.0,3,1.0,33.33,25,18.0,72.0,5,0,8,3.0,37.5,53,32.0,60.38,60,35.0,58.33,4,2.0,50.0,33,22,11,0,0,33,4.0,12.12,0,0.0,0.0,8,4.0,50.0,3,0.0,0.0,0,0.0,0.0,21,3.0,14.29,73,35.0,47.95,5,Porto
2026-02-09,Porto - Sporting CP 1:1,Portugal. Primeira Liga,107,Porto,5-3-2,1,1.75,9,1.0,11.11,369,312.0,84.55,42.96,90,18.0,27.0,45.0,66,27.0,29.0,10.0,165,79.0,47.88,Liga Portugal,Porto,Sporting CP,1:1,1.0,1.0,True,1.0,1.0,Draw,balanced,16.63,4.73,5.15,11.3,18.58,15.92,1.0,1.0,121,89.0,73.55,69,64.0,92.75,104,93.0,89.42,19,9.0,47.37,44,26.0,59.09,48,35.0,72.92,0,0.0,0.0,16,14.0,87.5,8,1,11,3.0,27.27,66,40.0,60.61,22,11.0,50.0,1,0.0,0.0,36,18,14,3,0,26,8.0,30.77,0,0.0,0.0,1,0.0,0.0,2,0.0,0.0,0,0.0,0.0,11,4.0,36.36,50,15.0,30.0,1,Porto
2026-02-02,Casa Pia AC - Porto 2:1,Portugal. Primeira Liga,104,Porto,4-3-3,1,1.74,14,5.0,35.71,575,496.0,86.26,65.83,112,6.0,31.0,75.0,88,22.0,46.0,20.0,185,96.0,51.89,Liga Portugal,Casa Pia AC,Porto,2:1,2.0,1.0,False,1.0,2.0,Loss,dominant,17.3,5.28,5.74,4.84,14.69,16.24,2.0,1.0,178,133.0,74.72,85,81.0,95.29,191,176.0,92.15,33,20.0,60.61,97,84.0,86.6,88,75.0,85.23,1,0.0,0.0,24,20.0,83.33,3,2,5,3.0,60.0,55,36.0,65.45,31,18.0,58.06,5,0.0,0.0,24,7,14,2,1,47,9.0,19.15,0,0.0,0.0,10,3.0,30.0,4,0.0,0.0,0,0.0,0.0,31,10.0,32.26,67,28.0,41.79,3,Porto
2026-01-26,Porto - Gil Vicente 3:0,Portugal. Primeira Liga,96,Porto,4-3-3,3,2.45,13,6.0,46.15,432,364.0,84.26,60.88,100,15.0,44.0,41.0,76,24.0,39.0,13.0,162,80.0,49.38,Liga Portugal,Porto,Gil Vicente,3:0,3.0,0.0,True,3.0,0.0,Win,dominant,15.79,4.15,7.18,5.71,17.27,18.39,3.0,0.0,144,112.0,77.78,61,52.0,85.25,164,154.0,93.9,31,18.0,58.06,43,29.0,67.44,68,51.0,75.0,1,0.0,0.0,19,18.0,94.74,6,0,11,5.0,45.45,54,35.0,64.81,30,19.0,63.33,1,1.0,100.0,35,15,13,2,0,24,7.0,29.17,3,2.0,66.67,11,2.0,18.18,0,0.0,0.0,1,1.0,100.0,8,1.0,12.5,50,16.0,32.0,3,Porto
2026-01-18,Vitória Guimarães - Porto 0:1,Portugal. Primeira Liga,102,Porto,4-3-3,1,2.51,12,3.0,25.0,393,317.0,80.66,51.72,122,30.0,42.0,50.0,82,47.0,26.0,9.0,213,103.0,48.36,Liga Portugal,Vitória Guimarães,Porto,0:1,0.0,1.0,False,1.0,0.0,Win,dominant,15.92,3.85,9.41,7.39,18.63,18.01,0.0,1.0,166,126.0,75.9,52,50.0,96.15,120,98.0,81.67,37,24.0,64.86,58,43.0,74.14,82,56.0,68.29,0,0.0,0.0,18,16.0,88.89,7,0,15,3.0,20.0,85,53.0,62.35,41,17.0,41.46,3,0.0,0.0,40,11,15,2,0,25,7.0,28.0,0,0.0,0.0,1,0.0,0.0,4,0.0,0.0,2,1.0,50.0,10,1.0,10.0,70,27.0,38.57,2,Porto
2026-01-04,Santa Clara - Porto 0:1,Portugal. Primeira Liga,97,Porto,4-3-3,1,1.21,8,5.0,62.5,405,338.0,83.46,54.56,106,22.0,30.0,54.0,82,41.0,25.0,16.0,208,102.0,49.04,Liga Portugal,Santa Clara,Porto,0:1,0.0,1.0,False,1.0,0.0,Win,dominant,14.76,3.75,6.42,6.47,18.93,18.38,0.0,1.0,137,97.0,70.8,67,61.0,91.04,149,141.0,94.63,26,13.0,50.0,60,42.0,70.0,62,48.0,77.42,1,0.0,0.0,14,9.0,64.29,8,0,12,0.0,0.0,80,44.0,55.0,33,16.0,48.48,3,0.0,0.0,39,26,22,4,0,27,6.0,22.22,0,0.0,0.0,7,0.0,0.0,1,0.0,0.0,0,0.0,0.0,10,3.0,30.0,65,27.0,41.54,2,Porto
2025-12-29,Porto - AVS  2:0,Portugal. Primeira Liga,97,Porto,4-3-3,2,1.92,15,4.0,26.67,551,468.0,84.94,70.26,124,15.0,24.0,85.0,96,34.0,38.0,24.0,203,101.0,49.75,Liga Portugal,Porto,AVS,2:0,2.0,0.0,True,2.0,0.0,Win,dominant,15.3,5.51,6.35,4.28,16.26,17.95,2.0,0.0,171,128.0,74.85,68,63.0,92.65,226,209.0,92.48,35,14.0,40.0,87,60.0,68.97,66,53.0,80.3,3,2.0,66.67,23,23.0,100.0,6,0,7,1.0,14.29,53,38.0,71.7,54,28.0,51.85,5,1.0,20.0,42,9,8,1,0,48,11.0,22.92,0,0.0,0.0,8,2.0,25.0,4,1.0,25.0,1,1.0,100.0,22,10.0,45.45,73,26.0,35.62,1,Porto
2025-12-22,Alverca - Porto 0:3,Portugal. Primeira Liga,93,Porto,4-3-3,3,1.19,12,6.0,50.0,512,443.0,86.52,59.49,97,10.0,25.0,62.0,78,34.0,27.0,17.0,210,106.0,50.48,Liga Portugal,Alverca,Porto,0:3,0.0,3.0,False,3.0,0.0,Win,dominant,16.32,5.39,8.98,5.76,17.89,17.39,0.0,3.0,176,145.0,82.39,79,77.0,97.47,171,146.0,85.38,46,27.0,58.7,70,50.0,71.43,70,58.0,82.86,1,1.0,100.0,18,17.0,94.44,4,0,7,5.0,71.43,86,54.0,62.79,24,15.0,62.5,2,2.0,100.0,37,18,12,1,0,36,10.0,27.78,0,0.0,0.0,1,1.0,100.0,1,0.0,0.0,0,0.0,0.0,18,6.0,33.33,78,26.0,33.33,3,Porto
2025-12-15,Porto - Estrela Amadora 3:1,Portugal. Primeira Liga,98,Porto,4-3-3,3,4.38,20,7.0,35.0,548,481.0,87.77,59.21,113,8.0,41.0,64.0,82,20.0,37.0,25.0,200,92.0,46.0,Liga Portugal,Porto,Estrela Amadora,3:1,3.0,1.0,True,3.0,1.0,Win,dominant,18.29,5.43,6.02,5.12,14.01,18.13,3.0,1.0,181,147.0,81.22,101,94.0,93.07,182,165.0,90.66,33,17.0,51.52,54,41.0,75.93,83,72.0,86.75,0,0.0,0.0,24,21.0,87.5,3,1,5,1.0,20.0,73,41.0,56.16,31,15.0,48.39,4,1.0,25.0,36,8,13,1,0,37,15.0,40.54,0,0.0,0.0,4,2.0,50.0,3,0.0,0.0,1,1.0,100.0,18,7.0,38.89,76,27.0,35.53,1,Porto
2025-12-07,Tondela - Porto 0:2,Portugal. Primeira Liga,97,Porto,4-3-3,2,2.47,11,5.0,45.45,640,563.0,87.97,76.96,107,21.0,20.0,66.0,68,25.0,24.0,19.0,161,80.0,49.69,Liga Portugal,Tondela,Porto,0:2,0.0,2.0,False,2.0,0.0,Win,dominant,14.62,7.36,5.47,6.38,14.19,18.01,0.0,2.0,142,105.0,73.94,80,78.0,97.5,310,288.0,92.9,35,17.0,48.57,70,49.0,70.0,67,56.0,83.58,1,0.0,0.0,22,22.0,100.0,8,0,12,2.0,16.67,48,31.0,64.58,34,16.0,47.06,1,1.0,100.0,27,12,10,1,0,28,10.0,35.71,0,0.0,0.0,4,1.0,25.0,1,0.0,0.0,0,0.0,0.0,19,4.0,21.05,55,18.0,32.73,2,Porto
2025-11-30,Porto - Estoril 1:0,Portugal. Primeira Liga,97,Porto,4-1-4-1,1,1.44,9,6.0,66.67,442,363.0,82.13,54.16,122,29.0,48.0,45.0,85,43.0,31.0,11.0,180,90.0,50.0,Liga Portugal,Porto,Estoril,1:0,1.0,0.0,True,1.0,0.0,Win,dominant,14.99,4.56,8.82,8.13,14.68,16.78,1.0,0.0,174,120.0,68.97,72,68.0,94.44,119,109.0,91.6,39,22.0,56.41,47,29.0,61.7,69,37.0,53.62,4,0.0,0.0,17,17.0,100.0,8,0,11,2.0,18.18,74,49.0,66.22,23,12.0,52.17,1,0.0,0.0,48,21,14,1,0,20,6.0,30.0,3,1.0,33.33,5,2.0,40.0,1,0.0,0.0,0,0.0,0.0,7,3.0,42.86,59,16.0,27.12,3,Porto
2025-11-09,Famalicão - Porto 0:1,Portugal. Primeira Liga,98,Porto,4-4-1-1,1,1.86,19,6.0,31.58,415,355.0,85.54,57.59,102,21.0,28.0,53.0,83,32.0,33.0,18.0,224,110.0,49.11,Liga Portugal,Famalicão,Porto,0:1,0.0,1.0,False,1.0,0.0,Win,dominant,13.62,3.92,11.08,7.05,19.48,20.26,0.0,1.0,152,117.0,76.97,59,55.0,93.22,159,146.0,91.82,46,27.0,58.7,54,36.0,66.67,73,58.0,79.45,3,1.0,33.33,15,14.0,93.33,5,0,9,1.0,11.11,72,49.0,68.06,30,16.0,53.33,1,0.0,0.0,33,13,13,2,0,34,14.0,41.18,1,0.0,0.0,4,1.0,25.0,2,1.0,50.0,0,0.0,0.0,12,5.0,41.67,97,32.0,32.99,3,Porto
2025-11-02,Porto - Sporting Braga 2:1,Portugal. Primeira Liga,96,Porto,4-1-4-1,2,0.74,9,4.0,44.44,290,228.0,78.62,32.67,98,18.0,43.0,37.0,78,33.0,34.0,11.0,154,68.0,44.16,Liga Portugal,Porto,Sporting Braga,2:1,2.0,1.0,True,2.0,1.0,Win,dominant,16.99,3.45,15.52,12.71,26.57,21.2,2.0,1.0,121,81.0,66.94,49,47.0,95.92,88,78.0,88.64,45,26.0,57.78,35,18.0,51.43,61,38.0,62.3,4,1.0,25.0,13,11.0,84.62,6,1,11,3.0,27.27,60,38.0,63.33,28,13.0,46.43,1,0.0,0.0,36,15,15,3,0,18,8.0,44.44,0,0.0,0.0,2,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,1.0,20.0,47,14.0,29.79,2,Porto
2025-10-27,Moreirense - Porto 1:2,Portugal. Primeira Liga,108,Porto,4-3-3,2,2.21,15,8.0,53.33,498,420.0,84.34,64.97,106,13.0,20.0,73.0,79,22.0,39.0,18.0,227,118.0,51.98,Liga Portugal,Moreirense,Porto,1:2,1.0,2.0,False,2.0,1.0,Win,dominant,14.44,4.61,8.63,6.07,16.99,19.17,1.0,2.0,144,103.0,71.53,56,53.0,94.64,232,209.0,90.09,43,15.0,34.88,64,39.0,60.94,60,44.0,73.33,1,1.0,100.0,26,20.0,76.92,3,1,7,1.0,14.29,74,47.0,63.51,38,22.0,57.89,6,3.0,50.0,44,11,13,2,0,42,7.0,16.67,2,1.0,50.0,7,2.0,28.57,4,1.0,25.0,1,1.0,100.0,20,5.0,25.0,93,35.0,37.63,5,Porto
2025-10-05,Porto - Benfica 0:0,Portugal. Primeira Liga,97,Porto,4-2-3-1,0,1.17,9,2.0,22.22,425,361.0,84.94,57.89,100,13.0,23.0,64.0,73,18.0,35.0,20.0,186,90.0,48.39,Liga Portugal,Porto,Benfica,0:0,0.0,0.0,True,0.0,0.0,Draw,balanced,13.49,5.38,4.71,7.97,16.78,17.54,0.0,0.0,139,98.0,70.5,78,76.0,97.44,140,129.0,92.14,20,10.0,50.0,42,25.0,59.52,51,43.0,84.31,4,1.0,25.0,24,17.0,70.83,3,0,3,1.0,33.33,70,44.0,62.86,27,16.0,59.26,2,2.0,100.0,29,8,15,6,0,33,8.0,24.24,0,0.0,0.0,3,0.0,0.0,0,0.0,0.0,0,0.0,0.0,13,4.0,30.77,66,17.0,25.76,0,Porto
2025-09-29,Arouca - Porto 0:4,Portugal. Primeira Liga,96,Porto,4-3-3,4,2.14,15,6.0,40.0,392,332.0,84.69,55.55,103,29.0,38.0,36.0,69,30.0,26.0,13.0,159,88.0,55.35,Liga Portugal,Arouca,Porto,0:4,0.0,4.0,False,4.0,0.0,Win,dominant,14.15,4.22,7.14,10.22,17.16,18.2,0.0,4.0,122,92.0,75.41,65,61.0,93.85,128,116.0,90.63,28,18.0,64.29,38,26.0,68.42,61,38.0,62.3,2,0.0,0.0,15,11.0,73.33,9,0,11,3.0,27.27,43,29.0,67.44,35,19.0,54.29,1,0.0,0.0,26,20,8,2,1,30,10.0,33.33,1,0.0,0.0,8,1.0,12.5,4,1.0,25.0,0,0.0,0.0,16,5.0,31.25,60,28.0,46.67,2,Porto
2025-09-19,Rio Ave - Porto 0:3,Portugal. Primeira Liga,96,Porto,4-1-4-1,3,2.11,15,7.0,46.67,480,419.0,87.29,52.63,87,19.0,23.0,45.0,68,32.0,22.0,14.0,164,80.0,48.78,Liga Portugal,Rio Ave,Porto,0:3,0.0,3.0,False,3.0,0.0,Win,dominant,17.26,5.58,7.29,8.97,16.49,19.05,0.0,3.0,148,118.0,79.73,87,87.0,100.0,185,164.0,88.65,35,20.0,57.14,53,41.0,77.36,67,49.0,73.13,2,0.0,0.0,14,8.0,57.14,2,0,7,2.0,28.57,60,31.0,51.67,21,15.0,71.43,2,2.0,100.0,27,10,18,1,0,31,9.0,29.03,0,0.0,0.0,10,3.0,30.0,2,0.0,0.0,0,0.0,0.0,15,4.0,26.67,58,21.0,36.21,0,Porto
2025-09-13,Porto - Nacional 1:0,Portugal. Primeira Liga,103,Porto,4-3-3,1,1.77,10,4.0,40.0,519,429.0,82.66,68.12,127,9.0,51.0,67.0,100,24.0,58.0,18.0,215,93.0,43.26,Liga Portugal,Porto,Nacional,1:0,1.0,0.0,True,1.0,0.0,Win,dominant,15.37,4.94,9.06,5.81,17.48,20.12,1.0,0.0,153,109.0,71.24,75,70.0,93.33,215,198.0,92.09,47,25.0,53.19,64,42.0,65.63,72,54.0,75.0,0,0.0,0.0,33,32.0,96.97,4,0,5,1.0,20.0,54,34.0,62.96,42,17.0,40.48,0,0.0,0.0,35,12,6,2,0,34,5.0,14.71,2,2.0,100.0,5,0.0,0.0,3,0.0,0.0,1,1.0,100.0,13,1.0,7.69,86,27.0,31.4,3,Porto
2025-08-30,Sporting CP - Porto 1:2,Portugal. Primeira Liga,99,Porto,4-2-3-1,2,1.42,14,7.0,50.0,321,273.0,85.05,47.1,99,22.0,39.0,38.0,78,29.0,38.0,11.0,232,111.0,47.84,Liga Portugal,Sporting CP,Porto,1:2,1.0,2.0,False,2.0,1.0,Win,balanced,13.58,3.28,10.59,8.28,21.07,18.52,1.0,2.0,111,86.0,77.48,47,43.0,91.49,119,105.0,88.24,34,22.0,64.71,30,24.0,80.0,52,39.0,75.0,0,0.0,0.0,17,16.0,94.12,14,1,22,4.0,18.18,80,46.0,57.5,38,24.0,63.16,3,2.0,66.67,57,12,14,5,0,24,10.0,41.67,1,1.0,100.0,3,0.0,0.0,2,0.0,0.0,0,0.0,0.0,10,2.0,20.0,91,33.0,36.26,1,Porto
2025-08-24,Porto - Casa Pia AC 4:0,Portugal. Primeira Liga,94,Porto,4-3-3,4,2.9,19,7.0,36.84,551,493.0,89.47,65.09,90,9.0,24.0,57.0,70,16.0,31.0,23.0,169,77.0,45.56,Liga Portugal,Porto,Casa Pia AC,4:0,4.0,0.0,True,4.0,0.0,Win,dominant,16.62,5.86,4.54,6.89,15.33,16.71,4.0,0.0,150,125.0,83.33,84,82.0,97.62,215,196.0,91.16,25,19.0,76.0,48,39.0,81.25,55,43.0,78.18,0,0.0,0.0,21,20.0,95.24,6,0,7,0.0,0.0,57,36.0,63.16,25,12.0,48.0,2,1.0,50.0,30,5,11,3,0,42,13.0,30.95,0,0.0,0.0,7,5.0,71.43,1,0.0,0.0,0,0.0,0.0,14,5.0,35.71,64,23.0,35.94,3,Porto
