date,match,competition,duration,team,scheme,goals,xg,shots_total,shots_on_target,shots_on_target_pct,passes_total,passes_accurate,passes_accurate_pct,possession_pct,losses_total,losses_low,losses_mid,losses_high,recoveries_total,recoveries_low,recoveries_mid,recoveries_high,duels_total,duels_won,duels_won_pct,competition_clean,home_team,away_team,score,goals_home_x,goals_away_x,is_home,goals_for,goals_against,result,opponent_context,game_intensity,passes_per_possession,long_pass_pct,ppda,avg_shot_distance,avg_pass_length,goals_home_y,goals_away_y,forward_passes,forward_passes_accurate,forward_passes_accurate_pct,back_passes,back_passes_accurate,back_passes_accurate_pct,lateral_passes,lateral_passes_accurate,lateral_passes_accurate_pct,long_passes,long_passes_accurate,long_passes_accurate_pct,final_third_passes,final_third_passes_accurate,final_third_passes_accurate_pct,progressive_passes,progressive_passes_accurate,progressive_passes_accurate_pct,smart_passes,smart_passes_accurate,smart_passes_accurate_pct,throw_ins,throw_ins_accurate,throw_ins_accurate_pct,goal_kicks,goals_conceded,shots_against,shots_against_on_target,shots_against_on_target_pct,def_duels,def_duels_won,def_duels_won_pct,aerial_duels,aerial_duels_won,aerial_duels_won_pct,tackles,tackles_successful,tackles_successful_pct,interceptions,clearances,fouls,yellow_cards,red_cards,positional_attacks,positional_attacks_with_shots,positional_attacks_with_shots_pct,counter_attacks,counter_attacks_with_shots,counter_attacks_with_shots_pct,corners,corners_with_shots,corners_with_shots_pct,free_kicks,free_kicks_with_shots,free_kicks_with_shots_pct,penalties,penalties_converted,penalties_converted_pct,crosses,crosses_accurate,crosses_accurate_pct,off_duels,off_duels_won,off_duels_won_pct,offsides,club
2025-08-18,Gil Vicente - Porto 0:2,Portugal. Primeira Liga,103,Porto,5-3-2,2,1.55,14,4.0,28.57,476,421.0,88.45,60.35,97,24.0,26.0,47.0,69,33.0,24.0,12.0,179,76.0,42.46,Liga Portugal,Gil Vicente,Porto,0:2,0.0,2.0,False,2.0,0.0,Win,dominant,15.36,5.53,6.09,6.17,18.1,18.39,0.0,2.0,149,118.0,79.19,72,68.0,94.44,195,184.0,94.36,29,19.0,65.52,39,26.0,66.67,60,44.0,73.33,0,0.0,0.0,20,18.0,90.0,7,0,11,1.0,9.09,57,33.0,57.89,30,17.0,56.67,5,1.0,20.0,30,9,20,4,0,24,8.0,33.33,2,2.0,100.0,5,2.0,40.0,1,0.0,0.0,0,0.0,0.0,12,5.0,41.67,66,19.0,28.79,1,Porto
2025-08-11,Porto - Vitória Guimarães 3:0,Portugal. Primeira Liga,97,Porto,4-1-3-2,3,2.65,17,9.0,52.94,391,335.0,85.68,48.96,90,17.0,30.0,43.0,67,20.0,30.0,17.0,147,69.0,46.94,Liga Portugal,Porto,Vitória Guimarães,3:0,3.0,0.0,True,3.0,0.0,Win,dominant,16.2,4.55,9.72,8.0,18.45,18.67,3.0,0.0,122,90.0,73.77,62,59.0,95.16,137,128.0,93.43,38,18.0,47.37,41,23.0,56.1,54,40.0,74.07,0,0.0,0.0,9,8.0,88.89,6,0,8,1.0,12.5,43,23.0,53.49,29,19.0,65.52,2,0.0,0.0,35,17,18,1,0,22,10.0,45.45,0,0.0,0.0,7,3.0,42.86,2,1.0,50.0,0,0.0,0.0,8,3.0,37.5,52,18.0,34.62,2,Porto
2026-03-08,Benfica - Porto 2:2,Portugal. Primeira Liga,106,Benfica,4-2-3-1,2,1.89,20,5.0,25.0,451,369.0,81.82,57.42,115,14.0,33.0,68.0,83,24.0,41.0,18.0,234,124.0,52.99,Liga Portugal,Benfica,Porto,2:2,2.0,2.0,True,2.0,2.0,Draw,balanced,16.07,3.96,6.21,7.29,18.69,20.72,2.0,2.0,163,129.0,79.14,49,46.0,93.88,178,152.0,85.39,28,12.0,42.86,68,54.0,79.41,79,64.0,81.01,0,0.0,0.0,20,19.0,95.0,6,2,15,7.0,46.67,74,53.0,71.62,27,17.0,62.96,8,3.0,37.5,31,12,10,3,0,42,16.0,38.1,0,0.0,0.0,8,1.0,12.5,5,1.0,20.0,0,0.0,0.0,27,5.0,18.52,99,39.0,39.39,0,Benfica
2026-03-02,Gil Vicente - Benfica 1:2,Portugal. Primeira Liga,96,Benfica,4-4-2,2,1.1,10,5.0,50.0,364,292.0,80.22,53.94,120,24.0,30.0,66.0,67,19.0,33.0,15.0,192,92.0,47.92,Liga Portugal,Gil Vicente,Benfica,1:2,1.0,2.0,False,2.0,1.0,Win,balanced,13.9,3.64,9.89,8.94,13.92,19.14,1.0,2.0,119,78.0,65.55,45,40.0,88.89,151,133.0,88.08,36,15.0,41.67,46,32.0,69.57,51,33.0,64.71,1,1.0,100.0,24,22.0,91.67,10,1,13,5.0,38.46,72,33.0,45.83,43,27.0,62.79,2,1.0,50.0,29,18,13,3,0,30,8.0,26.67,0,0.0,0.0,3,1.0,33.33,3,1.0,33.33,0,0.0,0.0,13,4.0,30.77,59,25.0,42.37,0,Benfica
2026-02-21,Benfica - AVS  3:0,Portugal. Primeira Liga,96,Benfica,4-4-1-1,3,4.27,22,10.0,45.45,545,477.0,87.52,65.1,111,20.0,26.0,65.0,88,27.0,38.0,23.0,199,98.0,49.25,Liga Portugal,Benfica,AVS,3:0,3.0,0.0,True,3.0,0.0,Win,balanced,16.63,5.09,6.06,8.07,16.45,18.95,3.0,0.0,154,130.0,84.42,91,87.0,95.6,210,185.0,88.1,33,19.0,57.58,75,61.0,81.33,88,77.0,87.5,0,0.0,0.0,18,16.0,88.89,4,0,4,1.0,25.0,51,34.0,66.67,42,18.0,42.86,3,3.0,100.0,33,19,7,0,0,48,13.0,27.08,0,0.0,0.0,10,5.0,50.0,2,0.0,0.0,0,0.0,0.0,28,10.0,35.71,83,35.0,42.17,4,Benfica
2026-02-13,Santa Clara - Benfica 1:2,Portugal. Primeira Liga,97,Benfica,4-4-2,2,1.79,10,3.0,30.0,369,288.0,78.05,42.61,137,33.0,47.0,57.0,108,43.0,44.0,21.0,216,105.0,48.61,Liga Portugal,Santa Clara,Benfica,1:2,1.0,2.0,False,2.0,1.0,Win,balanced,17.47,3.32,7.59,9.5,14.96,17.44,1.0,2.0,143,104.0,72.73,47,46.0,97.87,116,94.0,81.03,28,14.0,50.0,41,28.0,68.29,79,53.0,67.09,1,0.0,0.0,27,23.0,85.19,2,1,9,2.0,22.22,66,44.0,66.67,44,22.0,50.0,3,1.0,33.33,54,15,5,2,0,26,5.0,19.23,0,0.0,0.0,7,1.0,14.29,4,1.0,25.0,0,0.0,0.0,16,5.0,31.25,80,31.0,38.75,1,Benfica
2026-02-08,Benfica - Alverca 2:1,Portugal. Primeira Liga,101,Benfica,4-1-3-2,2,2.35,25,9.0,36.0,483,403.0,83.44,60.97,98,14.0,16.0,68.0,88,31.0,41.0,16.0,213,99.0,46.48,Liga Portugal,Benfica,Alverca,2:1,2.0,1.0,True,2.0,1.0,Win,balanced,17.27,3.93,8.49,7.45,18.74,19.91,2.0,1.0,164,129.0,78.66,58,55.0,94.83,202,177.0,87.62,41,25.0,60.98,75,58.0,77.33,94,78.0,82.98,2,1.0,50.0,20,20.0,100.0,3,1,6,2.0,33.33,58,38.0,65.52,46,15.0,32.61,2,0.0,0.0,22,8,12,3,0,50,16.0,32.0,1,0.0,0.0,9,3.0,33.33,8,2.0,25.0,0,0.0,0.0,27,8.0,29.63,84,36.0,42.86,1,Benfica
2026-02-01,Tondela - Benfica 0:0,Portugal. Primeira Liga,100,Benfica,4-2-3-1,0,2.08,20,9.0,45.0,594,501.0,84.34,74.96,127,9.0,37.0,81.0,82,18.0,38.0,26.0,222,112.0,50.45,Liga Portugal,Tondela,Benfica,0:0,0.0,0.0,False,0.0,0.0,Draw,balanced,16.32,4.75,5.89,8.06,18.73,17.11,0.0,0.0,185,148.0,80.0,72,64.0,88.89,223,198.0,88.79,35,24.0,68.57,82,73.0,89.02,95,82.0,86.32,1,1.0,100.0,35,32.0,91.43,13,0,6,1.0,16.67,56,37.0,66.07,40,16.0,40.0,0,0.0,0.0,20,9,5,0,0,51,13.0,25.49,0,0.0,0.0,13,2.0,15.38,6,0.0,0.0,0,0.0,0.0,31,15.0,48.39,98,46.0,46.94,0,Benfica
2026-01-25,Benfica - Estrela Amadora 4:0,Portugal. Primeira Liga,96,Benfica,4-2-3-1,4,2.55,15,8.0,53.33,473,405.0,85.62,63.52,110,6.0,47.0,57.0,84,23.0,43.0,18.0,212,115.0,54.25,Liga Portugal,Benfica,Estrela Amadora,4:0,4.0,0.0,True,4.0,0.0,Win,balanced,15.44,4.83,5.92,5.11,16.04,17.61,4.0,0.0,154,117.0,75.97,68,62.0,91.18,167,152.0,91.02,28,16.0,57.14,52,43.0,82.69,75,63.0,84.0,1,0.0,0.0,19,17.0,89.47,3,0,2,0.0,0.0,57,41.0,71.93,43,21.0,48.84,3,1.0,33.33,35,6,10,3,0,33,6.0,18.18,0,0.0,0.0,6,1.0,16.67,4,1.0,25.0,1,1.0,100.0,20,4.0,20.0,92,45.0,48.91,1,Benfica
2026-01-17,Rio Ave - Benfica 0:2,Portugal. Primeira Liga,100,Benfica,4-2-3-1,2,2.59,24,8.0,33.33,605,540.0,89.26,61.55,86,13.0,16.0,57.0,72,18.0,32.0,22.0,185,108.0,58.38,Liga Portugal,Rio Ave,Benfica,0:2,0.0,2.0,False,2.0,0.0,Win,balanced,18.71,5.65,7.27,7.25,17.44,16.82,0.0,2.0,190,157.0,82.63,95,92.0,96.84,221,203.0,91.86,44,23.0,52.27,78,61.0,78.21,80,71.0,88.75,1,0.0,0.0,16,15.0,93.75,3,0,7,2.0,28.57,73,52.0,71.23,19,8.0,42.11,1,0.0,0.0,39,9,8,2,0,48,15.0,31.25,1,1.0,100.0,11,8.0,72.73,1,0.0,0.0,0,0.0,0.0,18,10.0,55.56,74,38.0,51.35,0,Benfica
2026-01-03,Benfica - Estoril 3:1,Portugal. Primeira Liga,97,Benfica,4-2-3-1,3,2.2,19,3.0,15.79,410,347.0,84.63,52.5,109,11.0,37.0,61.0,89,27.0,43.0,19.0,187,101.0,54.01,Liga Portugal,Benfica,Estoril,3:1,3.0,1.0,True,3.0,1.0,Win,balanced,16.17,4.77,8.05,8.18,19.26,18.68,3.0,1.0,120,85.0,70.83,66,64.0,96.97,151,138.0,91.39,33,20.0,60.61,50,39.0,78.0,60,51.0,85.0,1,0.0,0.0,11,10.0,90.91,6,1,8,5.0,62.5,66,42.0,63.64,32,16.0,50.0,1,1.0,100.0,29,11,12,0,0,25,13.0,52.0,0,0.0,0.0,7,3.0,42.86,2,0.0,0.0,1,1.0,100.0,9,5.0,55.56,68,29.0,42.65,2,Benfica
2025-12-28,Sporting Braga - Benfica 2:2,Portugal. Primeira Liga,103,Benfica,4-2-3-1,2,0.71,14,6.0,42.86,480,394.0,82.08,50.76,103,12.0,50.0,41.0,70,32.0,29.0,9.0,164,94.0,57.32,Liga Portugal,Sporting Braga,Benfica,2:2,2.0,2.0,False,2.0,2.0,Draw,balanced,17.45,5.27,7.92,12.5,17.81,18.62,2.0,2.0,162,110.0,67.9,74,69.0,93.24,163,146.0,89.57,38,19.0,50.0,43,28.0,65.12,74,48.0,64.86,0,0.0,0.0,20,20.0,100.0,2,2,7,2.0,28.57,53,38.0,71.7,34,20.0,58.82,1,0.0,0.0,35,6,9,2,0,23,6.0,26.09,1,1.0,100.0,5,3.0,60.0,2,1.0,50.0,0,0.0,0.0,12,5.0,41.67,55,23.0,41.82,1,Benfica
2025-12-22,Benfica - Famalicão 1:0,Portugal. Primeira Liga,100,Benfica,4-2-3-1,1,1.31,9,6.0,66.67,528,467.0,88.45,54.27,105,11.0,48.0,46.0,82,35.0,39.0,8.0,193,104.0,53.89,Liga Portugal,Benfica,Famalicão,1:0,1.0,0.0,True,1.0,0.0,Win,balanced,17.14,5.18,7.2,8.0,17.81,19.1,1.0,0.0,152,117.0,76.97,96,94.0,97.92,212,199.0,93.87,38,24.0,63.16,59,47.0,79.66,60,44.0,73.33,0,0.0,0.0,18,18.0,100.0,2,0,3,2.0,66.67,62,43.0,69.35,28,14.0,50.0,3,1.0,33.33,44,16,11,0,0,26,5.0,19.23,0,0.0,0.0,5,1.0,20.0,4,0.0,0.0,1,1.0,100.0,8,2.0,25.0,85,40.0,47.06,1,Benfica
2025-12-14,Moreirense - Benfica 0:4,Portugal. Primeira Liga,99,Benfica,4-2-3-1,4,1.24,10,5.0,50.0,452,398.0,88.05,46.14,96,25.0,36.0,35.0,73,20.0,38.0,15.0,181,92.0,50.83,Liga Portugal,Moreirense,Benfica,0:4,0.0,4.0,False,4.0,0.0,Win,balanced,17.96,4.91,8.19,13.52,15.63,19.63,0.0,4.0,132,100.0,75.76,87,85.0,97.7,177,166.0,93.79,37,22.0,59.46,51,38.0,74.51,68,48.0,70.59,1,0.0,0.0,13,12.0,92.31,3,0,9,2.0,22.22,64,38.0,59.38,29,16.0,55.17,0,0.0,0.0,31,17,15,0,0,31,9.0,29.03,0,0.0,0.0,4,1.0,25.0,2,0.0,0.0,0,0.0,0.0,7,3.0,42.86,70,28.0,40.0,1,Benfica
2025-12-05,Benfica - Sporting CP 1:1,Portugal. Primeira Liga,99,Benfica,4-4-2,1,0.88,8,4.0,50.0,345,294.0,85.22,45.63,91,10.0,38.0,43.0,83,24.0,40.0,19.0,207,116.0,56.04,Liga Portugal,Benfica,Sporting CP,1:1,1.0,1.0,True,1.0,1.0,Draw,balanced,14.52,4.01,8.7,8.5,19.61,18.75,1.0,1.0,106,82.0,77.36,66,61.0,92.42,125,109.0,87.2,30,19.0,63.33,32,22.0,68.75,43,31.0,72.09,1,1.0,100.0,16,13.0,81.25,3,1,5,2.0,40.0,92,66.0,71.74,24,13.0,54.17,4,3.0,75.0,36,14,15,2,1,22,5.0,22.73,0,0.0,0.0,3,0.0,0.0,4,0.0,0.0,0,0.0,0.0,13,4.0,30.77,62,27.0,43.55,2,Benfica
2025-11-29,Nacional - Benfica 1:2,Portugal. Primeira Liga,103,Benfica,4-2-3-1,2,3.4,30,8.0,26.67,581,486.0,83.65,66.88,122,12.0,25.0,85.0,91,22.0,40.0,29.0,213,99.0,46.48,Liga Portugal,Nacional,Benfica,1:2,1.0,2.0,False,2.0,1.0,Win,balanced,17.01,4.92,6.2,6.07,16.76,17.65,1.0,2.0,185,133.0,71.89,74,72.0,97.3,239,213.0,89.12,36,18.0,50.0,81,59.0,72.84,87,70.0,80.46,0,0.0,0.0,33,32.0,96.97,6,1,7,2.0,28.57,45,27.0,60.0,57,22.0,38.6,6,4.0,66.67,25,8,8,2,0,56,22.0,39.29,0,0.0,0.0,11,4.0,36.36,2,1.0,50.0,0,0.0,0.0,33,10.0,30.3,84,40.0,47.62,1,Benfica
2025-11-09,Benfica - Casa Pia AC 2:2,Portugal. Primeira Liga,100,Benfica,4-2-3-1,2,1.9,16,6.0,37.5,566,492.0,86.93,64.2,94,8.0,20.0,66.0,73,19.0,34.0,20.0,134,58.0,43.28,Liga Portugal,Benfica,Casa Pia AC,2:2,2.0,2.0,True,2.0,2.0,Draw,balanced,17.37,6.36,7.07,9.14,19.87,18.75,2.0,2.0,155,119.0,76.77,84,79.0,94.05,232,218.0,93.97,40,26.0,65.0,87,70.0,80.46,66,55.0,83.33,3,0.0,0.0,21,20.0,95.24,1,2,6,5.0,83.33,41,27.0,65.85,33,13.0,39.39,1,0.0,0.0,28,4,8,3,0,37,13.0,35.14,0,0.0,0.0,6,2.0,33.33,0,0.0,0.0,1,1.0,100.0,14,1.0,7.14,39,16.0,41.03,5,Benfica
2025-11-01,Vitória Guimarães - Benfica 0:3,Portugal. Primeira Liga,97,Benfica,4-2-3-1,3,3.06,21,10.0,47.62,531,474.0,89.27,63.27,82,13.0,23.0,46.0,66,19.0,31.0,16.0,183,100.0,54.64,Liga Portugal,Vitória Guimarães,Benfica,0:3,0.0,3.0,False,3.0,0.0,Win,balanced,17.75,5.53,6.78,7.03,16.85,19.28,0.0,3.0,173,147.0,84.97,72,66.0,91.67,216,198.0,91.67,36,19.0,52.78,70,56.0,80.0,67,57.0,85.07,0,0.0,0.0,18,18.0,100.0,6,0,10,3.0,30.0,62,48.0,77.42,31,13.0,41.94,1,1.0,100.0,26,5,11,4,0,31,12.0,38.71,0,0.0,0.0,7,4.0,57.14,2,0.0,0.0,0,0.0,0.0,16,6.0,37.5,76,35.0,46.05,0,Benfica
2025-10-25,Benfica - Arouca 5:0,Portugal. Primeira Liga,99,Benfica,4-4-2,5,3.49,16,8.0,50.0,459,398.0,86.71,52.25,85,9.0,30.0,46.0,85,22.0,47.0,16.0,189,101.0,53.44,Liga Portugal,Benfica,Arouca,5:0,5.0,0.0,True,5.0,0.0,Win,balanced,16.98,4.64,10.46,7.76,15.67,20.98,5.0,0.0,135,113.0,83.7,68,64.0,94.12,184,163.0,88.59,48,33.0,68.75,56,43.0,76.79,69,58.0,84.06,10,5.0,50.0,6,6.0,100.0,5,0,4,0.0,0.0,57,35.0,61.4,21,13.0,61.9,2,0.0,0.0,37,18,13,2,0,29,7.0,24.14,4,1.0,25.0,9,4.0,44.44,3,0.0,0.0,3,3.0,100.0,15,3.0,20.0,80,33.0,41.25,4,Benfica
2025-10-05,Porto - Benfica 0:0,Portugal. Primeira Liga,97,Benfica,4-2-3-1,0,0.15,3,1.0,33.33,398,329.0,82.66,42.11,99,33.0,38.0,28.0,63,40.0,17.0,6.0,186,90.0,48.39,Liga Portugal,Porto,Benfica,0:0,0.0,0.0,False,0.0,0.0,Draw,balanced,17.37,4.74,11.06,15.32,19.77,18.19,0.0,0.0,142,103.0,72.54,65,62.0,95.38,124,112.0,90.32,44,24.0,54.55,39,27.0,69.23,65,33.0,50.77,0,0.0,0.0,10,10.0,100.0,16,0,9,2.0,22.22,66,49.0,74.24,27,9.0,33.33,2,0.0,0.0,48,12,6,2,0,16,1.0,6.25,0,0.0,0.0,3,1.0,33.33,4,0.0,0.0,0,0.0,0.0,5,1.0,20.0,70,26.0,37.14,0,Benfica
2025-09-26,Benfica - Gil Vicente 2:1,Portugal. Primeira Liga,105,Benfica,4-2-3-1,2,1.48,9,4.0,44.44,343,279.0,81.34,49.06,118,24.0,43.0,51.0,83,35.0,35.0,13.0,246,125.0,50.81,Liga Portugal,Benfica,Gil Vicente,2:1,2.0,1.0,True,2.0,1.0,Win,balanced,14.99,2.91,11.37,15.33,19.9,18.78,2.0,1.0,122,89.0,72.95,53,48.0,90.57,102,91.0,89.22,39,18.0,46.15,44,29.0,65.91,58,39.0,67.24,1,0.0,0.0,23,20.0,86.96,12,1,13,6.0,46.15,74,43.0,58.11,57,34.0,59.65,2,1.0,50.0,28,24,14,3,0,31,5.0,16.13,0,0.0,0.0,0,0.0,0.0,3,1.0,33.33,1,1.0,100.0,11,3.0,27.27,93,40.0,43.01,0,Benfica
2025-09-23,Benfica - Rio Ave 1:1,Portugal. Primeira Liga,102,Benfica,4-3-3,1,2.2,17,7.0,41.18,572,496.0,86.71,67.2,122,9.0,26.0,87.0,96,23.0,47.0,26.0,209,115.0,55.02,Liga Portugal,Benfica,Rio Ave,1:1,1.0,1.0,True,1.0,1.0,Draw,balanced,16.06,5.11,5.94,5.92,14.99,18.86,1.0,1.0,186,158.0,84.95,86,83.0,96.51,205,179.0,87.32,34,25.0,73.53,86,75.0,87.21,95,88.0,92.63,3,1.0,33.33,31,31.0,100.0,4,1,4,2.0,50.0,77,54.0,70.13,30,14.0,46.67,4,1.0,25.0,21,10,15,3,0,50,10.0,20.0,2,1.0,50.0,11,3.0,27.27,6,0.0,0.0,0,0.0,0.0,29,11.0,37.93,80,36.0,45.0,2,Benfica
2025-09-20,AVS  - Benfica 0:3,Portugal. Primeira Liga,99,Benfica,4-4-2,3,2.2,18,6.0,33.33,509,454.0,89.19,59.4,104,26.0,31.0,47.0,79,36.0,26.0,17.0,183,95.0,51.91,Liga Portugal,AVS,Benfica,0:3,0.0,3.0,False,3.0,0.0,Win,balanced,16.59,5.25,8.25,9.86,18.16,18.0,0.0,3.0,145,117.0,80.69,78,73.0,93.59,201,187.0,93.03,42,27.0,64.29,61,42.0,68.85,69,57.0,82.61,3,2.0,66.67,17,16.0,94.12,9,0,6,1.0,16.67,62,40.0,64.52,47,24.0,51.06,3,2.0,66.67,24,19,11,1,0,32,10.0,31.25,0,0.0,0.0,1,1.0,100.0,4,0.0,0.0,1,1.0,100.0,8,4.0,50.0,59,22.0,37.29,3,Benfica
2025-09-12,Benfica - Santa Clara 1:1,Portugal. Primeira Liga,100,Benfica,4-4-2,1,1.51,17,7.0,41.18,737,661.0,89.69,77.04,106,5.0,28.0,73.0,80,16.0,43.0,21.0,182,100.0,54.95,Liga Portugal,Benfica,Santa Clara,1:1,1.0,1.0,True,1.0,1.0,Draw,balanced,16.51,7.6,6.65,7.08,18.67,18.99,1.0,1.0,178,149.0,83.71,90,87.0,96.67,350,322.0,92.0,49,31.0,63.27,96,86.0,89.58,86,72.0,83.72,0,0.0,0.0,25,24.0,96.0,3,1,7,5.0,71.43,60,37.0,61.67,50,31.0,62.0,2,1.0,50.0,14,8,8,1,0,56,13.0,23.21,0,0.0,0.0,4,0.0,0.0,4,3.0,75.0,0,0.0,0.0,33,9.0,27.27,55,25.0,45.45,2,Benfica
2025-08-31,Alverca - Benfica 1:2,Portugal. Primeira Liga,97,Benfica,3-5-2,2,1.15,6,2.0,33.33,482,425.0,88.17,54.85,86,23.0,17.0,46.0,61,29.0,21.0,11.0,164,88.0,53.66,Liga Portugal,Alverca,Benfica,1:2,1.0,2.0,False,2.0,1.0,Win,balanced,16.66,6.89,7.05,7.12,14.71,17.74,1.0,2.0,142,113.0,79.58,98,92.0,93.88,168,154.0,91.67,34,18.0,52.94,61,50.0,81.97,54,40.0,74.07,2,1.0,50.0,13,12.0,92.31,4,1,8,4.0,50.0,79,47.0,59.49,25,12.0,48.0,2,0.0,0.0,32,21,18,5,1,21,4.0,19.05,0,0.0,0.0,2,0.0,0.0,0,1.0,0.0,0,0.0,0.0,12,3.0,25.0,48,21.0,43.75,0,Benfica
2025-08-23,Benfica - Tondela 3:0,Portugal. Primeira Liga,97,Benfica,4-4-2,3,2.4,19,10.0,52.63,556,488.0,87.77,63.58,101,16.0,33.0,52.0,71,30.0,28.0,13.0,178,95.0,53.37,Liga Portugal,Benfica,Tondela,3:0,3.0,0.0,True,3.0,0.0,Win,balanced,17.21,5.4,5.76,9.57,14.42,17.63,3.0,0.0,152,125.0,82.24,77,70.0,90.91,229,210.0,91.7,32,20.0,62.5,56,42.0,75.0,59,46.0,77.97,1,1.0,100.0,20,19.0,95.0,5,0,9,4.0,44.44,65,44.0,67.69,32,17.0,53.13,5,2.0,40.0,37,16,9,2,0,29,13.0,44.83,0,0.0,0.0,13,3.0,23.08,0,0.0,0.0,0,0.0,0.0,19,6.0,31.58,65,30.0,46.15,1,Benfica
